STATION_NM,STATION_ID,lon,lat
오뚜기식품.두산벤처다임,209000029,126.974,37.39183333
대우자동차서비스,209000105,126.9744,37.3963
인덕원역4호선.인덕원성당,209000034,126.9738833,37.40351667
대륭테크노타운,209000100,126.97485,37.39666667
나눔초등학교.오뚜기식품.두산번체다임,209000113,126.9743833,37.39158333
평촌동행정복지센터.KT동안양지점.인덕원대우아파트,209000030,126.97505,37.39425
인덕원역4호선,209000032,126.9751,37.40281667
대우아파트.KT동안양지점.평촌동행정복지센터,209000162,126.9755667,37.39401667
인덕원역4호선,209000116,126.9756167,37.40313333
평촌동행정복지센터.인덕원대우아파트,209000112,126.9761,37.39521667
인덕원사거리.인덕원역,209000031,126.9764333,37.40088333
평촌노인정,209000104,126.9770833,37.3942
인덕원역4호선,209000142,126.9771833,37.40005
평촌동행정복지센터,209000101,126.9768333,37.39451667
인덕원초교.삼성아파트,209000111,126.9772667,37.39793333
인덕원역4호선,209000151,126.9777833,37.40085
인덕원역4호선,209000152,126.9780667,37.40113333
삼성아파트.대우아파트,209000103,126.9786333,37.39375
삼성아파트.대우아파트,209000102,126.9786833,37.39395
인덕원삼성아파트.인덕원고등학교,209000150,126.9794667,37.39906667
인덕원삼성아파트.인덕원고등학교,209000153,126.9804333,37.39875
인덕원삼호아파트,209000186,126.9823167,37.39748333
인덕원삼호아파트,209000185,126.98185,37.39741667
동편1단지후문,209000220,126.9657833,37.41021667
평촌고등학교,209000206,126.9539,37.38593333
동편수변공원앞,209000219,126.9699167,37.40656667
목련신동아아파트,209000223,126.9531667,37.38696667
목련마을,209000221,126.9513,37.3859
호계아크로리버,209000224,126.9558833,37.36686667
LS타워,209000225,126.9477167,37.37256667
LS타워,209000226,126.9484333,37.37241667
덕고개사거리,209000004,126.9659,37.3729
샘마을.대안중학교,209000013,126.9670833,37.37481667
한림대병원,209000231,126.9630667,37.39301667
부안중학교,209000233,126.9620333,37.3988
힐스테이트에코평촌.부안중학교,209000234,126.9624333,37.39773333
부림초등학교,209000235,126.95975,37.39926667
부안중학교,209000236,126.9601167,37.39913333
부림동행정복지센터,209000237,126.9582167,37.39873333
공작마을.부영아파트,209000238,126.95815,37.39846667
호계삼거리.디오슈페리움,209000241,126.9576,37.36571667
태영아파트,209000243,126.9584,37.3793
호계삼거리.디오슈페리움,209000240,126.9580167,37.36616667
종합운동장,209000260,126.9496,37.40366667
안양인라인경기장,209000266,126.9504333,37.40913333
안양비산동종점,209000265,126.9508667,37.41136667
종합운동장수영장.비산동교회,209000267,126.94995,37.40691667
안양비산동종점,209000264,126.9512167,37.4113
대림아파트,209000229,126.9426667,37.39901667
안양인라인경기장,209000263,126.9507167,37.40931667
종합운동장,209000268,126.9492333,37.40375
행복마을아파트,209000262,126.9504,37.40706667
동편1단지후문,209000246,126.9657,37.41011667
관악초등학교,209000247,126.9675667,37.40783333
관악초등학교,209000248,126.9679667,37.40775
동편마을1단지,209000249,126.9683333,37.41093333
동편마을1단지,209000250,126.9686,37.41088333
안양.범계(공항버스),209000277,126.9479,37.3909
동편마을2단지,209000251,126.972,37.41105
해오름공원.동편마을4단지후문,209000254,126.9713833,37.4078
관양2동행정복지센터,209000255,126.9708167,37.40271667
금강펜터리움IT타워,209000257,126.9698167,37.40093333
동일테크노타운,209000258,126.9703,37.40128333
동편마을2단지,209000252,126.9723333,37.4103
해오름공원.동편마을4단지후문,209000253,126.9715,37.40875
