NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,lon,lat
"2080010800","101","-","0",,126.91210817,37.39648403
"2080020600","103",안양유원지사거리,"0",시스템노드,126.91184439,37.41412909
"2080013800","101",우성아파트사거리,"1",,126.90796867,37.40257815
"2080002200","101","-","0",,126.90790739,37.42146265
"2080017100","101",박석교,"0",,126.90776401,37.40707846
"2080017800","103","-","0",시스템노드,126.89359001,37.40912456
"2080017700","103","-","0",시스템노드,126.89401420,37.40881746
"2080015100","103","-","0",시스템노드,126.89356876,37.40427687
"2080016200","103","-","0",시스템노드,126.88974986,37.40558715
"2080014700","101",충훈2교,"1",,126.89557279,37.40315649
"2080022000","102","-","0",,126.90099151,37.42400350
"2080023600","103","-","0",시스템노드 (조사 : 도로종점),126.90079051,37.43444381
"2080023100","102","-","0",,126.90126270,37.43074903
"2080022800","101","-","0",,126.90165101,37.42871203
"2080022700","102","-","0",,126.90081064,37.42859196
"2080022500","101","-","0",,126.90167914,37.42667721
"2080011800","101","-","0",,126.89876407,37.39813734
"2080015400","101",충훈2교,"0",,126.89662085,37.40441231
"2080017000","101","-","0",,126.89546273,37.40703071
"2080021100","101","-","0",,126.89604414,37.41791456
"2080013700","101","-","0",,126.90060107,37.40256353
"2080013200","101","-","1",,126.90113792,37.40192184
"2080014400","101","-","1",,126.89630742,37.40305265
"2080014500","101",안양여고사거리,"1",,126.89571707,37.40305590
"2080014200","101","-","1",,126.89609123,37.40281925
"2080018000","103",안양대교사거리,"0",시스템노드,126.89740876,37.40945853
"2080017200","103","-","0",시스템노드,126.89754736,37.40749984
"2080015300","103","-","0",시스템노드,126.89865907,37.40433443
"2080023300","103","-","0",시스템노드,126.90006545,37.43281384
"2080020000","101","-","0",,126.89190198,37.41176337
"2080019800","104",충훈터널,"0",,126.89436354,37.41150318
"2080016700","101","-","1",,126.88532951,37.40654262
"2080018500","103","-","0",,126.89242007,37.41002828
"2080015900","101",호현삼거리,"1",,126.88736761,37.40543899
"2080018400","103","-","0",시스템노드,126.89339523,37.40998506
"2080018800","103","-","0",시스템노드,126.89401307,37.41051271
"2080002701","103","-","0",,126.90452870,37.42891218
"2080021700","103","-","0",시스템노드,126.90622670,37.42227256
"2080021600","101",석수주유소삼거리,"1",,126.90695582,37.42108584
"2080017400","101",박석교,"0",,126.90711145,37.40824637
"2080020900","101",갈현삼거리,"1",,126.90676054,37.41648287
"2080020400","103","-","0",시스템노드,126.90707257,37.41402978
"2080013500","103","-","0",,126.90579376,37.40247675
"2080002600","101",안양육교삼거리,"1",,126.90572979,37.42502999
"2080002700","101","-","0",,126.90520879,37.42652728
"2080021800","108","-","0",,126.90563995,37.42322815
"2080020300","101","-","0",,126.90627951,37.41339987
"2080019900","101","-","0",,126.90618926,37.41167100
"2080013600","101",박달삼거리,"1",,126.90648798,37.40253181
"2080021000","103","-","0",시스템노드,126.90685364,37.41788006
"2080020500","103","-","0",시스템노드,126.90637339,37.41407296
"2080022100","101",연현오거리,"0",,126.90504692,37.42445018
"2080022900","101","-","0",,126.90314370,37.42887368
"2080019600","104",충훈터널,"0",,126.90311798,37.41117006
"2080023400","101",문형동삼거리,"0",,126.90231211,37.43300378
"2080015000","101","-","0",,126.90373607,37.40420465
"2080013300","101","-","1",,126.90308107,37.40215309
"2080019500","101","-","0",,126.90378232,37.41115315
"2080016000","101",충훈1교,"1",,126.90287748,37.40547921
"2080015500","101",충훈1교,"0",,126.90353886,37.40446993
"2080022400","101","-","0",,126.90435520,37.42508274
"2080023500","103","-","0",시스템노드 (조사 : 도로종점),126.90208307,37.43418396
"2080022300","103","-","1",시스템노드,126.90488595,37.42464787
"2080020700","101","-","1",,126.90819429,37.41472865
"2080008300","101","-","0",,126.91426536,37.39366928
"2090004300","101","-","0",,126.93553607,37.39776824
"2090005301","101","-","1",,126.93913892,37.39882018
"2090024000","101","-","0",,126.93142945,37.40243590
"2090004700","101","-","1",,126.94394279,37.39885781
"2090004900","103","-","1",,126.94312448,37.39881518
"2090005100","103","-","1",,126.94072764,37.39881878
"2090004600","101",비산사거리,"1",,126.93346654,37.39853240
"2090004500","101","-","0",,126.93303439,37.39829565
"2090003700","101",덕촌교,"1",,126.94030048,37.39520631
"2090003800","104",덕촌교,"0",,126.93959314,37.39576784
"2090005800","104",비산지하차도,"0",,126.92980982,37.40030271
"2090005801","101",임곡교,"0",,126.92922989,37.40080440
"2090005802","101",안일교,"1",,126.92826451,37.40166400
"2090006100","103","-","1",시스템노드,126.92786060,37.40201712
"2080000700","101","-","1",,126.92309976,37.40705846
"2080000900","101","-","0",,126.92249614,37.40817434
"2080001301","101","-","0",,126.92046270,37.41209321
"2080001500","104",유원지고가차도,"0",,126.91942489,37.41405421
"2080001700","101",안양유원지사거리,"0",,126.91740657,37.41548615
"2080001900","104",유원지고가차도,"0",,126.91468167,37.41643231
"2090004000","101",비산지하차도,"1",,126.93821801,37.39670571
"2090005701","103","-","0",,126.94848070,37.40120412
"2090005700","101","-","1",,126.94728673,37.40039484
"2090005600","101","-","1",,126.94500979,37.39903721
"2090005501","101","-","1",,126.93449536,37.39867784
"2090024400","101","-","0",,126.94696517,37.40343690
